Date,Volume,Volume
1988-10-04,4561600,13550000
1988-10-05,3277600,21070000
1988-10-06,3607200,16880000
1988-10-07,3512800,27500000
1988-10-10,2276800,15560000
1988-10-11,1920800,14180000
1988-10-12,3389600,17840000
1988-10-13,1852800,15730000
1988-10-14,2272000,15620000
1988-10-17,2036800,12970000
1988-10-18,2925600,19450000
1988-10-19,1816800,21580000
1988-10-20,2067200,24030000
1988-10-21,2957600,30340000
1988-10-24,1547200,16280000
1988-10-25,1567200,15080000
1988-10-26,5449600,19830000
1988-10-27,1965600,19330000
1988-10-28,1772000,17200000
1988-10-31,1548000,19330000
1988-11-01,1224000,18110000
1988-11-02,2032800,21690000
1988-11-03,2048000,21670000
1988-11-04,1434400,16410000
1988-11-07,1742400,18180000
1988-11-08,1973600,14580000
1988-11-09,1592800,17900000
1988-11-10,1308800,13230000
1988-11-11,1982400,16780000
1988-11-14,2436800,17470000
1988-11-15,1580000,12940000
1988-11-16,2830400,22830000
1988-11-17,1063200,14510000
1988-11-18,1622400,15370000
1988-11-21,996000,12200000
1988-11-22,1192800,13320000
1988-11-23,1172000,12750000
1988-11-25,678400,9480000
1988-11-28,1149600,12320000
1988-11-29,1232800,14940000
1988-11-30,3188800,15590000
1988-12-01,1719200,13580000
1988-12-02,3028000,14440000
1988-12-05,2945600,16100000
1988-12-06,2126400,17780000
1988-12-07,1424800,19160000
1988-12-08,1448000,16030000
1988-12-09,1226400,11650000
1988-12-12,2120000,11370000
1988-12-13,1872000,15210000
1988-12-14,1964000,12470000
1988-12-15,1366400,11040000
1988-12-16,3964800,27140000
1988-12-19,2640800,17740000
1988-12-20,2101600,18980000
1988-12-21,1505600,16040000
1988-12-22,2453600,16800000
1988-12-23,552000,6000000
1988-12-27,568000,7400000
1988-12-28,1135200,10190000
1988-12-29,1024000,12220000
1988-12-30,1145600,11140000
1989-01-03,3540000,17310000
1989-01-04,1781600,15710000
1989-01-05,2145600,20310000
1989-01-06,2539200,16500000
1989-01-09,3611200,18420000
1989-01-10,1672000,14690000
1989-01-11,1651200,14790000
1989-01-12,2342400,21440000
1989-01-13,1184800,14450000
1989-01-16,816800,11020000
1989-01-17,2082400,15810000
1989-01-18,1971200,22650000
1989-01-19,3937600,20760000
1989-01-20,7268000,21660000
1989-01-23,5418400,18570000
1989-01-24,3136800,23610000
1989-01-25,6016000,25690000
1989-01-26,2772000,28490000
1989-01-27,5530400,40880000
1989-01-30,3105600,26990000
1989-01-31,2659200,28060000
1989-02-01,4150400,34960000
1989-02-02,1416800,18290000
1989-02-03,837600,17260000
1989-02-06,4183200,15610000
1989-02-07,3412000,34070000
1989-02-08,2165600,21970000
1989-02-09,5235200,32770000
1989-02-10,4473600,19820000
1989-02-13,2883200,16380000
1989-02-14,2712800,21650000
1989-02-15,2040000,19630000
1989-02-16,2776000,18930000
1989-02-17,1948800,21000000
1989-02-21,1132800,15480000
1989-02-22,2004000,20020000
1989-02-23,2040000,16700000
1989-02-24,2186400,18650000
1989-02-27,2536800,15530000
1989-02-28,3793600,15860000
1989-03-01,2532800,20020000
1989-03-02,1729600,17660000
1989-03-03,1457600,16630000
1989-03-06,2106400,16520000
1989-03-07,3062400,18090000
1989-03-08,2152000,17510000
1989-03-09,1512800,16710000
1989-03-10,1373600,17430000
1989-03-13,1254400,17880000
1989-03-14,1942400,14750000
1989-03-15,1888000,21000000
1989-03-16,3409600,25190000
1989-03-17,3563200,39410000
1989-03-20,1720800,19600000
1989-03-21,1510400,15380000
1989-03-22,1726400,15220000
1989-03-23,1303200,20520000
1989-03-27,810400,12490000
1989-03-28,981600,17320000
1989-03-29,1630400,14520000
1989-03-30,1852000,17800000
1989-03-31,2888000,15980000
1989-04-03,2593600,16240000
1989-04-04,2543200,15710000
1989-04-05,2588000,15960000
1989-04-06,2798400,14120000
1989-04-07,1901600,15400000
1989-04-10,1353600,12940000
1989-04-11,3266400,15160000
1989-04-12,1356800,18390000
1989-04-13,1304000,14690000
1989-04-14,1919200,20690000
1989-04-17,2346400,13760000
1989-04-18,9844800,25240000
1989-04-19,4648800,21700000
1989-04-20,3256800,21410000
1989-04-21,2334400,27210000
1989-04-24,3638400,18550000
1989-04-25,1394400,21850000
1989-04-26,2743200,17050000
1989-04-27,12158400,25780000
1989-04-28,5661600,17410000
1989-05-01,2444800,14110000
1989-05-02,4895200,29030000
1989-05-03,2126400,16060000
1989-05-04,1468000,14680000
1989-05-05,2709600,18100000
1989-05-08,1948000,17290000
1989-05-09,2368800,15940000
1989-05-10,1482400,15980000
1989-05-11,1820800,15820000
1989-05-12,4740000,28690000
1989-05-15,6268800,32410000
1989-05-16,4785600,20170000
1989-05-17,7600800,22230000
1989-05-18,3616800,20860000
1989-05-19,3561600,48360000
1989-05-22,4001600,23520000
1989-05-23,2078400,23400000
1989-05-24,2272000,21640000
1989-05-25,1589600,17150000
1989-05-26,983200,18500000
1989-05-30,2820800,19040000
1989-05-31,1619200,17990000
1989-06-01,3020800,60820000
1989-06-02,3348000,47860000
1989-06-05,5068800,18810000
1989-06-06,4076000,21520000
1989-06-07,3310400,20970000
1989-06-08,2041600,25430000
1989-06-09,3940800,20310000
1989-06-12,2048800,16340000
1989-06-13,1194400,19810000
1989-06-14,1495200,16390000
1989-06-15,2280800,20680000
1989-06-16,3666400,37940000
1989-06-19,1123200,15290000
1989-06-20,1900000,14520000
1989-06-21,1808000,17590000
1989-06-22,1237600,18230000
1989-06-23,2376000,28220000
1989-06-26,1972800,17160000
1989-06-27,1811200,20760000
1989-06-28,1704800,18420000
1989-06-29,2236800,19240000
1989-06-30,2276800,21060000
1989-07-03,767200,7220000
1989-07-05,1708000,14480000
1989-07-06,2078400,12680000
