Date,WBA,UNH,TRV,VZ,WMT,PG,UTX,DOW
1988-02-19,1283200,633600,372800,1742100,5939200,5264000,2716800,23910000
1988-02-22,1360000,2214400,1074000,1327100,5945600,3988800,4624000,24230000
1988-02-23,803200,4425600,1507600,897800,8400000,4078400,3479200,21420000
1988-02-24,798400,188800,1242800,752800,5778400,5478400,3985600,24330000
1988-02-25,3937600,748800,1062400,971300,10240000,7038400,4590400,28970000
1988-02-26,539200,5139200,92800,613100,3468800,2526400,2426400,14730000
1988-02-29,1286400,1500800,874000,1081100,7236000,5267200,2332800,20080000
1988-03-01,1676800,620800,366000,1338700,8960000,6257600,2077600,23630000
1988-03-02,1161600,1180800,570400,1060700,4625600,7692800,2042400,19920000
1988-03-03,1057600,1347200,1617200,880500,11920000,6097600,2152000,18370000
1988-03-04,1496000,265600,474800,1441800,7803200,3537600,2857600,16650000
1988-03-07,604800,1212800,782800,440600,4616000,5296000,1671200,14100000
1988-03-08,1478400,278400,251200,800400,5646400,8464000,2333600,19490000
1988-03-09,2473600,1632000,282800,1350600,4307200,6900800,2914400,18150000
1988-03-10,859200,742400,722000,1034800,4975200,7622400,2987200,18120000
1988-03-11,1870400,560000,1018000,901900,6244000,6233600,2873600,17190000
1988-03-14,1233600,131200,1302400,565600,3216000,3872000,2700000,11470000
1988-03-15,641600,483200,583600,679000,3129600,5176000,2971200,13280000
1988-03-16,515200,1408000,1596800,1498700,5320800,4792000,3023200,16920000
1988-03-17,1177600,4739200,881600,1010700,5058400,5323200,3338400,20570000
1988-03-18,3176000,6054400,576400,2475100,12000000,13462400,4055200,34640000
1988-03-21,1542400,2966400,242800,556300,3748800,6966400,1978400,13550000
1988-03-22,1716800,2038400,870000,337400,4620800,5872000,1825600,13660000
1988-03-23,1644800,2803200,327600,720000,2856800,8027200,5096000,18930000
1988-03-24,937600,518400,598400,1246200,4710400,7872000,3201600,26540000
1988-03-25,987200,793600,746400,2122400,4836000,9753600,3636800,18590000
1988-03-28,1120000,1139200,976400,2400800,5183200,5950400,1713600,18240000
1988-03-29,926400,195200,1313600,947300,3323200,5908800,2228000,19940000
1988-03-30,1272000,656000,1935200,1232300,4316000,8956800,1816800,21470000
1988-03-31,856000,457600,957600,1627200,4816000,7158400,2347200,18280000
1988-04-04,2078400,572800,483200,1360500,3635200,3827200,2042400,17250000
1988-04-05,6723200,9916800,734000,647500,2676000,4075200,3168800,16940000
1988-04-06,10721600,601600,860800,1174600,6929600,7280000,5230400,28270000
1988-04-07,4435200,1056000,714400,739100,5388000,5792000,2327200,22550000
1988-04-08,1841600,1974400,2712400,924600,4802400,7688000,4028000,19890000
1988-04-11,1622400,608000,997200,462500,2511200,5513600,1648800,16800000
1988-04-12,1974400,2256000,556000,634100,3234400,4052800,2350400,20050000
1988-04-13,1764800,8880000,932000,674600,3554400,4452800,1704800,20010000
1988-04-14,2353600,1091200,2323600,1147700,8160000,9817600,3526400,30090000
1988-04-15,1225600,169600,2778000,1305200,6936000,10857600,5006400,33860000
1988-04-18,1726400,192000,1367600,916000,3891200,4352000,3408000,15940000
1988-04-19,726400,265600,2256000,478400,4542400,5016000,3940000,21110000
1988-04-20,1731200,76800,933600,720400,5217600,5574400,2950400,20000000
1988-04-21,3518400,224000,2315200,1037600,5744000,6985600,2400000,26460000
1988-04-22,926400,710400,1660000,929500,3467200,3902400,1381600,16580000
1988-04-25,657600,662400,924800,862700,2046400,3881600,1744000,16270000
1988-04-26,507200,883200,1148000,770200,3379200,5017600,2604000,20310000
1988-04-27,619200,118400,1066400,567400,3157600,2944000,2855200,17170000
1988-04-28,945600,259200,769600,578100,3371200,2942400,1717600,16980000
1988-04-29,1364800,601600,538800,1124200,4724000,2948800,2114400,17060000
1988-05-02,827200,643200,1103200,1374200,2828800,3216000,1561600,15660000
1988-05-03,510400,131200,1224000,356100,3972800,1947200,1393600,16640000
1988-05-04,1185600,355200,892000,892900,3984000,3800000,1750400,18470000
1988-05-05,1096000,67200,722400,659400,7611200,4088000,2825600,44620000
1988-05-06,497600,3017600,432400,637200,3402400,5080000,2379200,16300000
1988-05-09,2566400,505600,1549200,368100,4776800,4958400,1796800,12520000
1988-05-10,3683200,720000,928400,591000,4228800,4027200,2514400,16250000
1988-05-11,2315200,2988800,592000,546500,6724000,6705600,3959200,18980000
1988-05-12,894400,1353600,869200,841800,3405600,3961600,1416800,13130000
1988-05-13,2064000,928000,487200,699100,2802400,3196800,1528000,14160000
1988-05-16,1596800,1158400,557600,364900,2678400,5286400,1567200,12440000
1988-05-17,1881600,1344000,1436400,628400,4744800,5915200,1701600,18190000
1988-05-18,1192000,1654400,536000,546900,3896800,5536000,2469600,18810000
1988-05-19,1059200,1568000,1438000,711400,4799200,6632000,1978400,22670000
1988-05-20,897600,342400,773200,1472500,6036800,7780800,1931200,18620000
1988-05-23,347200,646400,905600,777300,3126400,3339200,1825600,14620000
1988-05-24,1016000,278400,657600,1126400,3952000,3736000,2972000,12820000
1988-05-25,3152000,364800,571600,845400,2638400,4076800,8273600,15420000
1988-05-26,1912000,76800,345200,652400,3889600,3892800,4133600,53350000
1988-05-27,444800,1715200,201200,385900,5112800,2539200,2492000,10380000
1988-05-31,835200,1209600,1474400,1331900,6357600,5542400,2871200,21160000
1988-06-01,1816000,2259200,1319200,2388300,11120000,9201600,2195200,34980000
