Date,TRV,DOW
1989-06-01,613200,60820000
1989-06-02,241200,47860000
1989-06-05,773200,18810000
1989-06-06,718400,21520000
1989-06-07,524400,20970000
1989-06-08,952000,25430000
1989-06-09,470000,20310000
1989-06-12,683200,16340000
1989-06-13,631600,19810000
1989-06-14,788000,16390000
1989-06-15,698800,20680000
1989-06-16,923200,37940000
1989-06-19,323600,15290000
1989-06-20,918800,14520000
1989-06-21,520000,17590000
1989-06-22,334400,18230000
1989-06-23,520000,28220000
1989-06-26,530400,17160000
1989-06-27,553600,20760000
1989-06-28,683200,18420000
1989-06-29,644800,19240000
1989-06-30,640400,21060000
1989-07-03,290800,7220000
1989-07-05,523200,14480000
1989-07-06,483200,12680000
1989-07-07,515600,17790000
1989-07-10,425200,13510000
1989-07-11,829600,16750000
1989-07-12,223200,14370000
1989-07-13,558800,15760000
1989-07-14,557600,22470000
1989-07-17,312000,14010000
1989-07-18,560800,12420000
1989-07-19,1408400,23370000
1989-07-20,413200,25300000
1989-07-21,398800,26980000
1989-07-24,764400,18240000
1989-07-25,974000,21250000
1989-07-26,331200,22470000
1989-07-27,1669200,25430000
1989-07-28,1015600,20070000
1989-07-31,691200,19130000
1989-08-01,865200,33280000
1989-08-02,1130400,20960000
1989-08-03,664400,19490000
1989-08-04,286400,19220000
1989-08-07,889200,22060000
1989-08-08,514400,24490000
1989-08-09,538400,24750000
1989-08-10,580000,21570000
1989-08-11,1323600,27250000
1989-08-14,564400,19200000
1989-08-15,430000,16450000
1989-08-16,628000,15450000
1989-08-17,226000,16120000
1989-08-18,570400,20530000
1989-08-21,418000,16270000
1989-08-22,411600,17400000
1989-08-23,182800,17100000
1989-08-24,760400,28860000
1989-08-25,674000,19160000
1989-08-28,254000,19240000
1989-08-29,364000,21430000
1989-08-30,514800,20920000
1989-08-31,599600,17130000
1989-09-01,333200,16860000
1989-09-05,364400,18320000
1989-09-06,950000,22990000
1989-09-07,1912000,21040000
1989-09-08,556000,20530000
1989-09-11,320400,17050000
1989-09-12,447200,16050000
1989-09-13,630800,20370000
1989-09-14,721200,16980000
1989-09-15,880000,36730000
1989-09-18,710000,13580000
1989-09-19,720000,13630000
1989-09-20,1326000,13250000
1989-09-21,696000,14320000
1989-09-22,358400,11610000
1989-09-25,418400,12530000
1989-09-26,294400,16010000
1989-09-27,773200,25980000
1989-09-28,992400,19920000
1989-09-29,737200,17850000
1989-10-02,834000,16370000
1989-10-03,1373600,28590000
1989-10-04,2028800,33390000
1989-10-05,823600,19990000
1989-10-06,315200,22280000
1989-10-09,95200,9360000
1989-10-10,496800,14840000
1989-10-11,877600,20120000
