Date,VZ,DOW
1989-03-30,17.059029,2281.340088
1989-03-31,17.143339,2293.620117
1989-04-03,17.283859,2304.800049
1989-04-04,16.918509,2298.199951
1989-04-05,17.115236,2304.800049
1989-04-06,17.002821,2291.969971
1989-04-07,17.087132,2304.800049
1989-04-10,17.087132,2301.870117
1989-04-11,17.030924,2311.580078
1989-04-12,17.030924,2319.649902
1989-04-13,16.946613,2296.000000
1989-04-14,17.283859,2337.060059
1989-04-17,17.36817,2337.790039
1989-04-18,17.874041,2379.399902
1989-04-19,17.817833,2386.909912
1989-04-20,17.705418,2377.379883
1989-04-21,17.845936,2409.459961
1989-04-24,17.930248,2402.679932
1989-04-25,18.042664,2386.850098
1989-04-26,18.211287,2389.100098
1989-04-27,18.492325,2418.989990
1989-04-28,18.745258,2418.800049
1989-05-01,18.60474,2414.959961
1989-05-02,18.632843,2402.860107
1989-05-03,18.520428,2393.699951
1989-05-04,18.211287,2384.899902
1989-05-05,18.323702,2381.959961
1989-05-08,18.295597,2376.469971
1989-05-09,18.267494,2371.330078
1989-05-10,18.267494,2374.449951
1989-05-11,18.323702,2382.879883
1989-05-12,18.885778,2439.699951
1989-05-15,18.801466,2463.889893
1989-05-16,18.745258,2453.449951
1989-05-17,18.913881,2462.429932
1989-05-18,19.026297,2470.120117
1989-05-19,19.588373,2501.100098
1989-05-22,19.700788,2502.020020
1989-05-23,19.447855,2478.010010
1989-05-24,19.447855,2483.870117
1989-05-25,19.391647,2482.590088
1989-05-26,19.700788,2493.770020
1989-05-30,19.447855,2475.550049
1989-05-31,19.532166,2480.149902
1989-06-01,19.56027,2490.629883
1989-06-02,19.981827,2517.830078
1989-06-05,19.869411,2480.699951
1989-06-06,20.094242,2496.320068
1989-06-07,20.600111,2512.320068
1989-06-08,20.487696,2516.909912
1989-06-09,20.262865,2513.419922
1989-06-12,20.15045,2518.840088
1989-06-13,19.700788,2503.540039
1989-06-14,19.616478,2503.360107
1989-06-15,19.363543,2475.000000
1989-06-16,19.56027,2486.379883
1989-06-19,19.672686,2479.889893
1989-06-20,19.644581,2472.879883
1989-06-21,19.504063,2464.909912
1989-06-22,19.785101,2481.979980
1989-06-23,20.459593,2531.870117
1989-06-26,20.234762,2511.379883
1989-06-27,20.234762,2526.370117
1989-06-28,19.897516,2504.739990
1989-06-29,19.728893,2458.270020
1989-06-30,19.672686,2440.060059
1989-07-03,19.588373,2452.770020
1989-07-05,19.728893,2456.560059
1989-07-06,19.700788,2462.439941
1989-07-07,20.066139,2487.860107
1989-07-10,20.15045,2502.659912
1989-07-11,20.347178,2514.610107
1989-07-12,20.347178,2532.629883
1989-07-13,20.403385,2538.320068
1989-07-14,20.347178,2554.820068
1989-07-17,20.29097,2553.489990
1989-07-18,20.29097,2544.760010
