Date,WMT,DOW
1988-10-31,3.921875,2148.649902
1988-11-01,3.921875,2150.959961
1988-11-02,3.859375,2156.830078
1988-11-03,3.828125,2170.340088
1988-11-04,3.859375,2145.800049
1988-11-07,3.828125,2124.639893
1988-11-08,3.875,2127.489990
1988-11-09,3.828125,2118.239990
1988-11-10,3.828125,2114.689941
1988-11-11,3.71875,2067.030029
1988-11-14,3.75,2065.080078
1988-11-15,3.734375,2077.169922
1988-11-16,3.703125,2038.579956
1988-11-17,3.71875,2052.449951
1988-11-18,3.765625,2062.409912
1988-11-21,3.734375,2065.969971
1988-11-22,3.734375,2077.699951
1988-11-23,3.75,2092.280029
1988-11-25,3.734375,2074.679932
1988-11-28,3.75,2081.439941
1988-11-29,3.78125,2101.530029
1988-11-30,3.78125,2114.510010
1988-12-01,3.75,2101.879883
1988-12-02,3.734375,2092.280029
1988-12-05,3.828125,2123.760010
1988-12-06,3.890625,2149.360107
1988-12-07,3.90625,2153.629883
1988-12-08,3.875,2141.709961
1988-12-09,3.890625,2143.489990
1988-12-12,3.921875,2139.580078
1988-12-13,3.953125,2143.489990
1988-12-14,3.890625,2134.250000
1988-12-15,3.859375,2133.000000
1988-12-16,3.859375,2150.709961
1988-12-19,3.890625,2172.679932
1988-12-20,3.828125,2166.070068
1988-12-21,3.828125,2164.639893
1988-12-22,3.859375,2160.360107
1988-12-23,3.90625,2168.929932
1988-12-27,3.84375,2162.679932
1988-12-28,3.875,2166.429932
1988-12-29,3.96875,2182.679932
1988-12-30,3.921875,2168.570068
1989-01-03,3.796875,2144.639893
1989-01-04,3.859375,2177.679932
1989-01-05,3.875,2190.540039
1989-01-06,3.875,2194.290039
1989-01-09,3.84375,2199.459961
1989-01-10,3.875,2193.209961
1989-01-11,3.96875,2206.429932
1989-01-12,3.96875,2222.320068
1989-01-13,3.984375,2226.070068
1989-01-16,3.96875,2224.639893
1989-01-17,3.953125,2214.639893
1989-01-18,3.96875,2238.750000
1989-01-19,3.984375,2239.110107
1989-01-20,3.984375,2235.360107
1989-01-23,3.921875,2218.389893
1989-01-24,4.015625,2256.429932
1989-01-25,4.046875,2265.889893
