Date,UNH,DOW
1988-05-11,0.152344,1965.849976
1988-05-12,0.148438,1968.000000
1988-05-13,0.148438,1990.550049
1988-05-16,0.148438,2007.630005
1988-05-17,0.144531,1986.410034
1988-05-18,0.148438,1951.089966
1988-05-19,0.140625,1958.719971
1988-05-20,0.144531,1952.589966
1988-05-23,0.142578,1941.479980
1988-05-24,0.140625,1962.530029
1988-05-25,0.140625,1961.369995
1988-05-26,0.140625,1966.699951
1988-05-27,0.144531,1956.439941
1988-05-31,0.140625,2031.119995
1988-06-01,0.136719,2064.010010
1988-06-02,0.136719,2052.449951
1988-06-03,0.136719,2071.310059
1988-06-06,0.140625,2075.209961
1988-06-07,0.136719,2054.590088
1988-06-08,0.136719,2102.949951
1988-06-09,0.128906,2093.350098
1988-06-10,0.128906,2101.709961
1988-06-13,0.121094,2099.399902
1988-06-14,0.125,2124.469971
1988-06-15,0.121094,2131.399902
1988-06-16,0.125,2094.239990
1988-06-17,0.121094,2104.020020
1988-06-20,0.121094,2083.929932
1988-06-21,0.121094,2109.169922
1988-06-22,0.121094,2152.199951
1988-06-23,0.119141,2148.290039
1988-06-24,0.117188,2142.959961
1988-06-27,0.117188,2108.459961
1988-06-28,0.121094,2130.870117
1988-06-29,0.121094,2121.979980
1988-06-30,0.121094,2141.709961
1988-07-01,0.119141,2131.580078
1988-07-05,0.117188,2158.610107
1988-07-06,0.121094,2130.159912
1988-07-07,0.121094,2122.689941
1988-07-08,0.121094,2106.149902
1988-07-11,0.128906,2111.310059
1988-07-12,0.125,2092.639893
1988-07-13,0.125,2104.370117
1988-07-14,0.128906,2113.620117
1988-07-15,0.128906,2129.449951
1988-07-18,0.126953,2117.889893
1988-07-19,0.128906,2097.260010
1988-07-20,0.128906,2110.600098
1988-07-21,0.125,2086.590088
1988-07-22,0.125,2060.989990
1988-07-25,0.132813,2071.830078
1988-07-26,0.132813,2073.969971
1988-07-27,0.128906,2053.699951
1988-07-28,0.125,2082.330078
1988-07-29,0.125,2128.729980
1988-08-01,0.128906,2130.510010
1988-08-02,0.125,2131.219971
1988-08-03,0.125,2134.070068
1988-08-04,0.125,2126.600098
1988-08-05,0.125,2119.129883
1988-08-08,0.125,2107.399902
1988-08-09,0.125,2079.129883
1988-08-10,0.113281,2034.140015
1988-08-11,0.117188,2039.300049
1988-08-12,0.117188,2037.520020
1988-08-15,0.117188,2004.270020
1988-08-16,0.117188,2021.510010
1988-08-17,0.125,2025.959961
1988-08-18,0.121094,2027.030029
1988-08-19,0.117188,2016.000000
1988-08-22,0.121094,1990.219971
1988-08-23,0.123047,1989.329956
1988-08-24,0.121094,2026.670044
1988-08-25,0.121094,2010.849976
1988-08-26,0.117188,2017.430054
1988-08-29,0.117188,2041.430054
1988-08-30,0.117188,2038.229980
1988-08-31,0.117188,2031.650024
1988-09-01,0.117188,2002.310059
1988-09-02,0.113281,2054.590088
1988-09-06,0.113281,2065.260010
1988-09-07,0.121094,2065.790039
1988-09-08,0.121094,2063.120117
1988-09-09,0.125,2068.810059
1988-09-12,0.128906,2072.370117
1988-09-13,0.125,2083.040039
1988-09-14,0.125,2100.639893
1988-09-15,0.125,2092.280029
1988-09-16,0.132813,2098.149902
