Date,PG,DOW
1988-08-18,4.5625,2027.030029
1988-08-19,4.59375,2016.000000
1988-08-22,4.539063,1990.219971
1988-08-23,4.5625,1989.329956
1988-08-24,4.632813,2026.670044
1988-08-25,4.609375,2010.849976
1988-08-26,4.617188,2017.430054
1988-08-29,4.664063,2041.430054
1988-08-30,4.671875,2038.229980
1988-08-31,4.664063,2031.650024
1988-09-01,4.664063,2002.310059
1988-09-02,4.78125,2054.590088
1988-09-06,4.851563,2065.260010
1988-09-07,4.875,2065.790039
1988-09-08,4.882813,2063.120117
1988-09-09,4.890625,2068.810059
1988-09-12,4.953125,2072.370117
1988-09-13,4.984375,2083.040039
1988-09-14,4.984375,2100.639893
1988-09-15,4.96875,2092.280029
1988-09-16,4.953125,2098.149902
1988-09-19,4.9375,2081.080078
1988-09-20,4.929688,2087.479980
1988-09-21,4.929688,2090.500000
1988-09-22,4.921875,2080.010010
1988-09-23,4.921875,2090.679932
1988-09-26,4.90625,2085.169922
1988-09-27,4.875,2082.330078
1988-09-28,4.875,2085.530029
1988-09-29,4.976563,2119.310059
1988-09-30,5,2112.909912
1988-10-03,4.984375,2105.260010
1988-10-04,4.953125,2102.060059
1988-10-05,4.976563,2106.510010
1988-10-06,4.984375,2107.750000
1988-10-07,5.054688,2150.250000
1988-10-10,5.046875,2158.959961
1988-10-11,5.101563,2156.469971
1988-10-12,5.054688,2126.239990
1988-10-13,5.101563,2133.360107
1988-10-14,5.117188,2133.179932
1988-10-17,5.070313,2140.469971
1988-10-18,5.125,2159.850098
1988-10-19,5.109375,2137.270020
1988-10-20,5.164063,2181.189941
1988-10-21,5.28125,2183.500000
1988-10-24,5.25,2170.340088
1988-10-25,5.203125,2173.360107
1988-10-26,5.203125,2165.179932
1988-10-27,5.140625,2140.830078
1988-10-28,5.171875,2149.889893
1988-10-31,5.164063,2148.649902
1988-11-01,5.171875,2150.959961
1988-11-02,5.203125,2156.830078
1988-11-03,5.265625,2170.340088
1988-11-04,5.289063,2145.800049
1988-11-07,5.132813,2124.639893
1988-11-08,5.132813,2127.489990
1988-11-09,5.125,2118.239990
1988-11-10,5.125,2114.689941
1988-11-11,5,2067.030029
1988-11-14,4.945313,2065.080078
1988-11-15,5.007813,2077.169922
1988-11-16,4.953125,2038.579956
1988-11-17,4.953125,2052.449951
1988-11-18,4.992188,2062.409912
1988-11-21,5.0625,2065.969971
1988-11-22,5.078125,2077.699951
1988-11-23,5.070313,2092.280029
