Date,WBA,DOW
2013-04-18,3805700,158050000
2013-04-19,6957300,207200000
2013-04-22,6536700,146890000
2013-04-23,6499300,137320000
2013-04-24,5628300,138020000
2013-04-25,3782000,129600000
2013-04-26,3417800,128910000
2013-04-29,3316300,97060000
2013-04-30,5550100,148250000
2013-05-01,5658900,112620000
2013-05-02,5025600,91180000
2013-05-03,8958900,119890000
2013-05-06,5244400,116160000
2013-05-07,6547900,117230000
2013-05-08,4760800,113510000
2013-05-09,7531100,97810000
2013-05-10,6411700,98980000
2013-05-13,3958500,94280000
2013-05-14,5417700,124590000
2013-05-15,6172000,124030000
2013-05-16,5085100,145090000
2013-05-17,4083200,175750000
2013-05-20,4463300,116420000
2013-05-21,5083900,122970000
2013-05-22,7913700,171850000
2013-05-23,5214200,148810000
2013-05-24,5658500,105660000
2013-05-28,4210400,130680000
2013-05-29,4902100,114020000
2013-05-30,4565700,121150000
2013-05-31,5823700,208830000
2013-06-03,6661600,147980000
2013-06-04,6093400,134280000
2013-06-05,6227400,141400000
2013-06-06,7411900,140410000
2013-06-07,4596100,137380000
2013-06-10,3646200,94250000
2013-06-11,3871100,101610000
2013-06-12,3328400,105770000
2013-06-13,2972900,104490000
2013-06-14,3597900,107430000
2013-06-17,3441200,139250000
2013-06-18,3605400,99210000
2013-06-19,3763000,111380000
2013-06-20,5533300,172630000
2013-06-21,5844100,420080000
2013-06-24,6374400,158670000
2013-06-25,22560000,135940000
2013-06-26,12176700,133230000
2013-06-27,7470400,113650000
2013-06-28,15231500,230000000
2013-07-01,6262400,120570000
2013-07-02,7193000,116610000
2013-07-03,4391800,61000000
2013-07-05,4493200,94560000
2013-07-08,6831100,136820000
2013-07-09,10629000,109270000
2013-07-10,16537200,105050000
2013-07-11,11281400,124950000
2013-07-12,6444600,130140000
2013-07-15,4004000,99430000
2013-07-16,3910000,105970000
2013-07-17,5092900,126240000
2013-07-18,12376400,136270000
2013-07-19,5607300,229260000
2013-07-22,5396100,180920000
2013-07-23,3793700,98700000
2013-07-24,2970000,99320000
2013-07-25,4509000,103260000
2013-07-26,4028800,94880000
2013-07-29,3314800,87240000
2013-07-30,5119800,117550000
2013-07-31,5339600,145120000
2013-08-01,5999500,111040000
2013-08-02,3452000,104840000
2013-08-05,2633900,76850000
2013-08-06,5232100,87730000
2013-08-07,4787000,88430000
2013-08-08,3255000,90990000
2013-08-09,3045300,81180000
2013-08-12,2902600,78060000
2013-08-13,2501400,84790000
2013-08-14,2789100,91030000
2013-08-15,3273500,128340000
2013-08-16,3429400,151620000
2013-08-19,2549300,111660000
2013-08-20,2151800,102340000
2013-08-21,4499600,98340000
2013-08-22,2015000,153490000
2013-08-23,2139100,131860000
2013-08-26,2648700,102820000
2013-08-27,4421600,118610000
2013-08-28,5022100,104620000
2013-08-29,2606100,93170000
2013-08-30,4323800,135850000
2013-09-03,4240500,142530000
2013-09-04,4099600,122150000
2013-09-05,4737900,101010000
2013-09-06,5222900,108410000
2013-09-09,3491500,90660000
2013-09-10,3737400,103200000
2013-09-11,3484100,102090000
2013-09-12,13776300,99760000
2013-09-13,6979000,90890000
2013-09-16,7025400,105740000
2013-09-17,4323200,104480000
2013-09-18,4924100,145410000
2013-09-19,5785900,116280000
2013-09-20,5983400,379650000
2013-09-23,9451000,94920000
2013-09-24,10603000,85430000
2013-09-25,9682100,81890000
2013-09-26,5517000,79050000
2013-09-27,5607900,95660000
2013-09-30,9628800,122330000
2013-10-01,13706300,82460000
2013-10-02,9473400,86090000
2013-10-03,7540500,91300000
2013-10-04,6139500,75100000
2013-10-07,4047900,79620000
2013-10-08,9204500,102690000
2013-10-09,4814200,103190000
2013-10-10,4775300,106540000
2013-10-11,5334800,85730000
2013-10-14,3029600,81420000
2013-10-15,3767000,91440000
2013-10-16,4627400,92850000
2013-10-17,7337300,108490000
2013-10-18,7385200,156660000
2013-10-21,4632100,93660000
2013-10-22,4855500,107030000
2013-10-23,5165700,90630000
2013-10-24,3493500,89240000
2013-10-25,4226200,109900000
2013-10-28,6836800,92760000
2013-10-29,5061600,86600000
2013-10-30,5293500,79170000
2013-10-31,4718000,114050000
2013-11-01,5353700,101830000
2013-11-04,4725900,71200000
2013-11-05,4166700,91890000
2013-11-06,3893800,109200000
2013-11-07,4448300,103860000
2013-11-08,5069400,101200000
2013-11-11,2507700,58860000
2013-11-12,4053900,79260000
2013-11-13,4566600,92450000
2013-11-14,4031800,123860000
2013-11-15,5695800,126460000
2013-11-18,3948500,94860000
2013-11-19,6592400,84570000
2013-11-20,5908100,84350000
2013-11-21,4837300,79000000
2013-11-22,3738700,81000000
2013-11-25,3693500,94040000
2013-11-26,4657400,107450000
2013-11-27,3971500,65730000
2013-11-29,3112800,69190000
2013-12-02,4774700,92590000
2013-12-03,5314600,103910000
2013-12-04,7922500,111180000
2013-12-05,9734700,128080000
2013-12-06,5285700,98260000
2013-12-09,3884800,91810000
2013-12-10,6250900,79420000
2013-12-11,7121300,107170000
2013-12-12,7672000,105870000
2013-12-13,4230000,83180000
2013-12-16,5445800,101470000
2013-12-17,6521800,101490000
2013-12-18,5900200,129620000
2013-12-19,6123700,94980000
2013-12-20,15021700,285190000
2013-12-23,6898300,78930000
2013-12-24,1967800,33640000
2013-12-26,2487300,50160000
2013-12-27,4282200,47230000
2013-12-30,2874300,54220000
2013-12-31,2949200,78760000
2014-01-02,5370600,80960000
2014-01-03,4261500,72770000
2014-01-06,5842700,89380000
2014-01-07,5804100,81270000
2014-01-08,10369000,103260000
2014-01-09,15062300,83990000
2014-01-10,7371800,85190000
2014-01-13,5422000,111680000
2014-01-14,5759600,98610000
2014-01-15,6321700,101130000
2014-01-16,6523100,87370000
2014-01-17,6007000,184970000
2014-01-21,4611400,111570000
2014-01-22,7444700,87470000
2014-01-23,3679200,100540000
2014-01-24,6541600,141450000
2014-01-27,5535800,127540000
2014-01-28,3785300,89110000
2014-01-29,5968200,109590000
2014-01-30,4123300,92100000
2014-01-31,6977100,137090000
2014-02-03,10031100,151050000
2014-02-04,6697700,124110000
2014-02-05,8101600,105130000
2014-02-06,6594600,106980000
2014-02-07,9119700,105780000
2014-02-10,5031200,84110000
2014-02-11,16109200,95930000
2014-02-12,24541500,77310000
2014-02-13,11099700,99470000
2014-02-14,8241700,84060000
2014-02-18,7719400,91250000
2014-02-19,5787200,80560000
2014-02-20,6331300,77720000
2014-02-21,3869000,126580000
2014-02-24,4783800,244580000
2014-02-25,7113000,99470000
2014-02-26,5148300,93980000
2014-02-27,6981200,97640000
2014-02-28,5563500,122110000
2014-03-03,7405800,92760000
2014-03-04,7250700,96120000
2014-03-05,4498600,73980000
2014-03-06,6448800,75900000
2014-03-07,5941500,80690000
2014-03-10,4176900,68210000
2014-03-11,3309000,78150000
2014-03-12,8243000,77900000
2014-03-13,4709800,86160000
2014-03-14,4319800,85660000
2014-03-17,2991100,88930000
2014-03-18,4698000,79140000
2014-03-19,6265100,90110000
